key_resp.corr	key_resp.rt	seqRT	ranRT
1	0.3507652	0.3507652	0.9913601
1	0.5017693	0.5017693	0.705218
1	0.289325	0.289325	0.7572315
1	0.8331899	0.8331899	1.2030514
1	0.2861712	0.2861712	0.7606563
1	0.2927748	0.2927748	0.7551523
1	0.5632237	0.5632237	1.2628842
1	0.8529863	0.8529863	0.9267619
1	0.3028038	0.3028038	0.7496813
1	0.7853425	0.7853425	0.8710137
1	0.6092346	0.6092346	0.4346594
1	0.6128305	0.6128305	0.9399971
1	0.3532201	0.3532201	1.0228955
1	0.3219215	0.3219215	0.8626111
1	0.3110078	0.3110078	0.690147
1	0.7391032	0.7391032	0.7965443
1	0.3470028	0.3470028	0.7323822
1	0.5635073	0.5635073	0.5409039
1	0.3009094	0.3009094	0.3840188
1	0.6841918	0.6841918	0.8077033
1	0.2847065	0.2847065	0.8852655
1	0.4828654	0.4828654	0.702757
1	0.334544	0.334544	0.587066
1	1.0819272	1.0819272	0.7513174
1	0.3303036	0.3303036	0.8208922
1	1.2367854	1.2367854	0.6390872
1	0.3361424	0.3361424	0.8207805
1	20.2925494	20.2925494	0.7503003
1	0.8612835	0.8612835	0.6673934
1	0.7634444	0.7634444	0.6713059
1	0.3345276	0.3345276	0.7375268
1	0.627746	0.627746	0.7279181
1	0.5403956	0.5403956	0.7600309
1	0.745784	0.745784	0.7750731
1	0.317399	0.317399	1.0162902
1	0.5981476	0.5981476	0.6493136
1	0.5829998	0.5829998	1.0262341
1	0.2761137	0.2761137	1.0290813
1	0.3388716	0.3388716	0.8503858
1	0.8233168	0.8233168	0.7688123
1	0.5820169	0.5820169	0.6804768
1	0.5723648	0.5723648	0.7419271
1	0.3937273	0.3937273	0.5812555
1	0.7037361	0.7037361	1.0354312
1	0.6478224	0.6478224	0.685747
1	0.5933263	0.5933263	0.9173582
1	0.4124577	0.4124577	0.6089545
1	0.6497586	0.6497586	0.6858382
1	0.2559179	0.2559179	0.6364894
1	0.4059827	0.4059827	0.8812505
1	0.3917112	0.3917112	0.5884792
1	0.3496562	0.3496562	0.9783933
1	0.294908	0.294908	0.4786247
1	0.3564244	0.3564244	0.9359076
1	0.2794159	0.2794159	0.490952
1	0.3384719	0.3384719	0.8559015
1	0.5506538	0.5506538	1.0998398
1	0.3125873	0.3125873	0.32365
1	0.3335795	0.3335795	0.7337369
1	0.5859515	0.5859515	0.6049905
1	0.2604978	0.2604978	0.8091104
1	0.2698766	0.2698766	0.4608554
1	0.2757539	0.2757539	0.5413703
1	0.3309	0.3309	0.6074157
1	0.2874608	0.2874608	0.6929678
1	0.3026606	0.3026606	0.7550522
1	0.3941097	0.3941097	0.7604251
1	0.3063102	0.3063102	0.5088085
1	0.6972329	0.6972329	0.92871
1	0.2565957	0.2565957	0.7278339
1	0.3659939	0.3659939	0.8873254
1	0.346052	0.346052	0.6809712
1	0.3164834	0.3164834	0.7747436
1	0.234186	0.234186	0.6668691
1	0.3464721	0.3464721	0.6654415
1	0.2930346	0.2930346	0.8338532
1	0.2784803	0.2784803	0.8605963
1	0.279487	0.279487	1.002176
1	0.2896307	0.2896307	0.8985999
1	0.9886988		
1	1.0059525		
1	0.6523805		
1	0.3891943		
1	0.8233332		
1	0.8957408		
1	0.8706893		
1	0.7371114		
1	0.8309736		
1	0.4650468		
1	0.3641413		
1	0.4751689		
1	0.3259362		
1	0.3506402		
1	0.8621141		
1	1.1560251		
1	0.7919167		
1	0.8401881		
1	1.1234525		
1	0.6827295		
1	0.8773883		
1	0.8669723		
1	0.8560089		
1	0.9863782		
1	0.8320265		
1	0.6648948		
1	0.7312719		
1	0.8128839		
1	0.7549481		
1	0.7631624		
1	0.7670899		
1	0.6237126		
1	0.7627198		
1	0.7209568		
1	0.7774626		
1	0.6938647		
1	0.6609365		
1	0.7135288		
1	0.8221678		
1	1.2037237		
1	1.1361488		
1	0.8979485		
1	0.6530792		
1	0.6925185		
1	0.744886		
1	0.860505		
1	0.6885567		
1	0.8624795		
1	0.7526363		
1	0.7234035		
1	0.9679492		
1	0.7538347		
1	0.8732842		
1	0.6802683		
1	0.7970683		
1	0.5988875		
1	0.8714708		
1	0.7566036		
1	0.5753103		
1	0.6076531		
1	0.8233126		
1	1.0657297		
1	1.3443418		
1	1.2077355		
1	0.6926535		
1	1.1317862		
1	0.638855		
1	0.8180586		
1	0.8114404		
1	0.6648131		
1	0.9514551		
1	0.7532112		
1	0.9749936		
1	0.8986249		
1	0.7912085		
1	1.4238014		
1	1.1536162		
1	0.8976184		
1	0.7261502		
1	0.5675015		
1	1.0681016		
1	0.9267885		
1	0.8089564		
1	0.6458797		
1	0.6664474		
1	0.8052832		
1	0.7716845		
1	0.7755887		
1	0.5283936		
1	0.8088882		
1	0.6660223		
1	0.5507759		
1	0.3337768		
1	0.7959462		
1	1.2323777		
1	0.7834697		
