trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
74,0,74,0,140.95687629999998,,140.91719710000007,5,140.95687629999998,140.95687629999998,0.02805350000016915,142.00371569999993,143.07360319999998,[0.4921875],[-0.3815104166666667],[1],[0],[0],[2.129752099999905],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
75,0,75,0,143.12189310000008,,143.08386270000005,5,143.12189310000008,143.12189310000008,0.027189500000076805,144.1705047999999,145.3070204999999,[0.4309895833333333],[-0.3151041666666667],[1],[0],[0],[2.1972659000000476],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
76,0,76,0,145.38662369999997,,145.3170963,5,145.38662369999997,145.38662369999997,0.03596889999994346,146.42021729999988,147.3405034,[-0.2838541666666667],[0.24739583333333334],[1],[0],[0],[1.9887765000000854],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
77,0,77,0,147.41978249999988,,147.35046979999993,10,147.41978249999988,147.41978249999988,0.043450500000062675,148.45328199999994,149.2581482999999,[-0.5013020833333334],[-0.3046875],[1],[0],[0],[1.8656158999999661],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
78,0,78,0,149.30293589999997,,149.26316470000006,5,149.30293589999997,149.30293589999997,0.019538299999794617,150.32023630000003,150.95614469999987,[-0.17447916666666666],[0.01171875],[1],[0],[0],[1.673591199999919],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
79,0,79,0,151.03666729999986,,150.9658918,10,151.03666729999986,151.03666729999986,0.04513919999999416,152.0536864999999,153.09003329999996,[-0.4309895833333333],[0.4231770833333333],[1],[0],[0],[2.0805304000000433],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
80,0,80,0,153.13936480000007,,153.10171480000008,5,153.13936480000007,153.13936480000007,0.02630360000011933,154.18662059999997,155.72272369999996,[0.052083333333333336],[-0.3880208333333333],[1],[0],[0],[2.596105399999942],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
81,0,81,0,155.80289399999992,,155.73297869999988,10,155.80289399999992,155.80289399999992,0.04669220000005225,156.82083250000005,157.69020299999988,[-0.18619791666666666],[-0.21484375],[1],[0],[0],[1.912061200000153],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
82,0,82,0,157.75272930000006,,157.70223050000004,5,157.75272930000006,157.75272930000006,0.028892799999994168,158.77002390000007,161.54022940000004,[0.4244791666666667],[0.46875],[1],[0],[0],[3.8109139000000596],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
83,0,83,0,161.61942950000002,,161.55094099999997,10,161.61942950000002,161.61942950000002,0.044542099999944185,162.65339130000007,164.23735209999995,[0.4791666666666667],[-0.1171875],[1],[0],[0],[2.6437700000001314],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
84,0,84,0,164.30274659999986,,164.24206750000008,10,164.30274659999986,164.30274659999986,0.035296100000095976,165.3363099999999,165.8377756,[-0.19010416666666666],[0.2825520833333333],[1],[0],[0],[1.5606460999999854],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
85,0,85,0,165.9024133999999,,165.84293619999994,10,165.9024133999999,165.9024133999999,0.03572700000017903,166.90684710000005,167.99077450000004,[0.21614583333333334],[0.23828125],[1],[0],[0],[2.1126191999999264],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
86,0,86,0,168.03578119999997,,167.99561749999998,5,168.03578119999997,168.03578119999997,0.018705400000044392,169.05286109999997,169.28887989999998,[-0.32421875],[-0.18619791666666666],[1],[0],[0],[1.2748085000000628],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
87,0,87,0,169.33908810000003,,169.29877740000006,5,169.33908810000003,169.33908810000003,0.028837000000066837,170.38643550000006,170.8567097,[0.3697916666666667],[-0.3125],[1],[0],[0],[1.5302767000000586],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
88,0,88,0,170.90438500000005,,170.86706849999996,5,170.90438500000005,170.90438500000005,0.026806800000031217,171.90670410000007,172.72281529999987,[0.48046875],[-0.2591145833333333],[1],[0],[0],[1.8303134999998747],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
89,0,89,0,172.77343079999991,,172.73297350000007,5,172.77343079999991,172.77343079999991,0.02892340000016702,173.80273710000006,174.53934189999995,[0.2643229166666667],[0.11848958333333333],[1],[0],[0],[1.7788981999999578],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
90,0,90,0,174.63568429999987,,174.54972380000004,10,174.63568429999987,174.63568429999987,0.062027299999954266,175.66923599999996,176.3558490999999,[-0.44140625],[-0.09375],[1],[0],[0],[1.7459530999999515],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
91,0,91,0,176.41914999999995,,176.3678104999999,5,176.41914999999995,176.41914999999995,0.02820760000008704,177.45271980000007,178.82285739999998,[0.23177083333333334],[0.4583333333333333],[1],[0],[0],[2.4283697999999276],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
92,0,92,0,178.90206510000007,,178.8335353,10,178.90206510000007,178.90206510000007,0.04565320000006068,179.91892899999993,181.25455050000005,[-0.028645833333333332],[0.4088541666666667],[1],[0],[0],[2.376730899999984],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
93,0,93,0,181.31908320000002,,181.26681510000003,5,181.31908320000002,181.31908320000002,0.027957700000115437,182.35275860000002,183.25632309999992,[-0.16927083333333334],[-0.09895833333333333],[1],[0],[0],[1.9628181999999015],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
94,0,94,0,183.33553039999993,,183.2664302999999,10,183.33553039999993,183.33553039999993,0.04363550000016403,184.36884469999995,184.92168859999992,[-0.4817708333333333],[0.044270833333333336],[1],[0],[0],[1.6131060000000161],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
95,0,95,0,185.00210220000008,,184.93173769999999,10,185.00210220000008,185.00210220000008,0.04261139999994157,186.02136470000005,187.97160259999987,[-0.3307291666666667],[-0.4505208333333333],[1],[0],[0],[2.998553700000002],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
96,0,96,0,188.01900369999998,,187.98183519999998,5,188.01900369999998,188.01900369999998,0.026428300000134186,189.03558679999992,189.3379941999999,[-0.26171875],[0.20833333333333334],[1],[0],[0],[1.3309893999999076],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
97,0,97,0,189.4019318999999,,189.34801829999992,5,189.4019318999999,189.4019318999999,0.03961329999992813,190.4357023,190.73935669999992,[-0.057291666666666664],[-0.4244791666666667],[1],[0],[0],[1.3530322999999953],['target'],485604,001,2024-10-04_11h22.22.241,visual search task,2024.1.5,None,2024-10-04 11h22.29.971547 +0530,
